Census Tract,2013-2017
36061004500,145352.1641
36061004700,127201.4869
36061004800,116997.5269
36061004900,97390.59693
36061005000,140617.5593
36061005200,162868.9791
36061005400,152860.6808
36061019100,103605.9122
36061019200,17634.00813
36061019300,41990.82901
36061019400,20469.06423
36061019500,118359.006
36061019600,17395.54547
36061019701,70698.06486
36061019702,67363.66387
36061019800,76136.84788
36061019900,82599.79746
36061020000,62418.11131
36061020101,114857.4774
36061020102,70627.74894
36061020300,39489.0092
36061020500,118345.7581
36061020600,38746.10629
36061020701,63519.72729
36061020800,71998.39971
36061020901,24330.32502
36061021000,28655.26322
36061021100,49888.63085
36061021200,54130.0052
36061021303,45540.25401
36061021400,54442.86006
36061021500,34605.61998
36061021600,58687.29163
36061021703,0
36061021800,47956.47184
36061021900,20011.50126
36061022000,63182.41472
36061022102,53996.50687
36061022200,53833.45548
36061022301,42949.77501
36061022302,26502.98483
36061022400,32202.65008
36061022500,52555.54019
36061022600,42697.04535
36061022700,54655.84594
36061022800,38892.85254
36061022900,47394.96361
36061023000,36060.85366
36061023100,43742.61241
36061023200,34226.5255
36061023300,53512.44805
36061023400,35065.2211
36061023501,40910.61353
36061023502,31782.79275
36061023600,39199.59298
36061023700,42753.09427
36061023801,90416.0736
36061023802,126619.5972
36061023900,35377.05689
36061024000,0
36061024100,53520.60062
36061024200,25767.21542
36061024301,43118.94083
36047082800,50675.35382
36047083000,49058.08781
36047083200,59940.74921
36047083400,56952.83244
36047083600,60234.24172
36047083800,63374.0001
36047084000,50430.77673
36047084600,58278.64408
36047084800,54658.90316
36047085000,68969.72009
36047085200,0
36047085400,51173.67964
36047085600,53209.7839
36047085800,58779.00804
36047086000,50023.14825
36047086200,43476.63482
36047086400,46742.75804
36047086600,47218.66429
36047086800,49297.56955
36047087000,36941.33119
36047087200,46848.74144
36047087401,31346.63027
36047087600,34924.58927
36047087800,36266.70605
36047088000,40704.76115
36047088200,49254.76856
36047088400,46450.2846
36047088600,36241.22927
36047088800,45585.09315
36047089000,29427.71919
36047089200,19150.38609
36047089400,48087.93203
36047089600,34046.14989
36061008603,170803.4675
36061008700,156274.5693
36061008800,105644.0546
36061008900,104265.2513
36061009000,134914.8368
36061009100,118877.7133
36061009200,124836.2226
36061009300,77308.77976
36061009400,0
36061009500,144678.5581
36061009600,128976.7089
36061009700,52482.16706
36061009800,137065.0771
36061009900,129261.0298
36061010000,108739.9929
36061010100,151177.1751
36061010200,170694.4269
36061010300,100787.1613
36061010400,122509.6831
36061010601,129021.5481
36061010602,137516.5256
36061010800,147644.0553
36061010900,163572.1382
36061011000,116782.5029
36061011100,107906.3927
36061011201,138358.2784
36061011202,166872.9098
36061011203,126415.783
36061011300,112097.8326
36061011401,238101.9108
36061011402,158315.7689
36061011500,124472.4142
36061011600,85640.70594
36061011700,127347.2141
36061011800,124873.9283
36061011900,16706.65334
36061012000,190863.8842
36061012100,70832.58225
36061012200,159817.8799
36061012400,127858.7878
36061012500,144580.7272
36061012600,136431.2148
36061012700,75651.76998
36061012800,168196.6833
36061012900,121222.5961
36061013000,193835.4958
36061013100,107149.2228
36061013200,90984.71534
36061013300,84972.19523
36061013400,98433.10677
36061013500,65887.0297
36061013600,107886.0113
36061013700,151598.0515
36061013800,134606.0583
36061013900,103855.5847
36061014000,156841.1729
36061014200,211991.2684
36061014300,0
36061014401,105622.6541
36061014402,128853.4013
36061014500,162258.5554
36061014601,113986.1715
36061014602,97043.09365
36061014700,193793.7139
36061014801,157248.8014
36061014802,126619.5972
36061014900,158908.8684
36061024302,21348.52268
36061024500,39314.74802
36061024700,45522.9298
36061024900,42582.90938
36061025100,32660.21305
36061025300,51574.17462
36061025500,36157.66543
36061025700,83067.55114
36061025900,58251.12916
36061026100,36686.56338
36061026300,31551.46358
36061026500,75383.75426
36061026700,39653.07966
36061026900,38939.72982
36061027100,58200.1756
36061027300,79655.70075
36061027500,94718.59223
36061027700,31924.44364
36061027900,45819.47952
36061028100,100926.774
36047089800,36623.38097
36047090000,23416.21815
36047090200,42673.60671
36047090600,10896.9284
36047090800,10972.33967
36047091000,11780.46313
36047091200,14620.61458
